date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:50	56286/56286	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/remote-book.html	D:/Temp/SubGit_Document/www.subgit.com/remote-book.html	(from )
00:14:51	314/314	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2254b5dbe7-280%22	http://www.subgit.com/robots.txt		(from )
00:14:59	5345/5345	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/css/documentation.css	D:/Temp/SubGit_Document/www.subgit.com/css/documentation.css	(from http://www.subgit.com/remote-book.html)
00:15:01	99678/99678	---M--	200	added ('OK')	image/x-icon	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/img/favicon.ico	D:/Temp/SubGit_Document/www.subgit.com/img/favicon.ico	(from http://www.subgit.com/remote-book.html)
00:15:01	1779/1779	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/js/documentation_script.js	D:/Temp/SubGit_Document/www.subgit.com/js/documentation_script.js	(from http://www.subgit.com/remote-book.html)
00:15:02	95786/95786	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/js/jquery-latest.min.js	D:/Temp/SubGit_Document/www.subgit.com/js/jquery-latest.min.js	(from http://www.subgit.com/remote-book.html)
00:15:24	11022/11022	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/index.html	D:/Temp/SubGit_Document/www.subgit.com/index-2.html	(from http://www.subgit.com/remote-book.html)
00:15:24	11022/11022	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/	D:/Temp/SubGit_Document/www.subgit.com/index.html	(from http://www.subgit.com/remote-book.html)
00:15:27	5761/5761	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/documentation.html	D:/Temp/SubGit_Document/www.subgit.com/documentation.html	(from http://www.subgit.com/remote-book.html)
00:15:27	6189/6189	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/download.html	D:/Temp/SubGit_Document/www.subgit.com/download.html	(from http://www.subgit.com/remote-book.html)
00:15:27	13568/13568	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/pricing.html	D:/Temp/SubGit_Document/www.subgit.com/pricing.html	(from http://www.subgit.com/remote-book.html)
00:15:29	4440/4440	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/contacts.html	D:/Temp/SubGit_Document/www.subgit.com/contacts.html	(from http://www.subgit.com/remote-book.html)
00:15:31	17967/17967	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/img/remotebook/start.png	D:/Temp/SubGit_Document/www.subgit.com/img/remotebook/start.png	(from http://www.subgit.com/remote-book.html)
00:15:34	32388/32388	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jan%202015%2003:00:55%20GMT	http://www.subgit.com/img/remotebook/remote-subgit.png	D:/Temp/SubGit_Document/www.subgit.com/img/remotebook/remote-subgit.png	(from http://www.subgit.com/remote-book.html)
